Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
10075	1	100	13	500	0.138561	0.133307	0.0795339	0.053773	0.00525425	0.87029	0.0175806	1.12644	0.0191848
10076	1	100	12	500	0.146164	0.138834	0.09061	0.0482238	0.0073299	0.865117	0.0150618	1.12945	0.0165515
10077	1	100	13	500	0.148747	0.138993	0.0963053	0.0426875	0.00975453	0.862598	0.0196961	1.12354	0.0256829
10078	1	100	16	500	0.144741	0.135143	0.0912492	0.0438937	0.00959836	0.868637	0.0179574	1.12284	0.0199361
10079	1	100	16	500	0.148785	0.14026	0.10319	0.0370706	0.00852498	0.862928	0.0189643	1.12714	0.0234159
10080	1	100	16	500	0.150461	0.141089	0.103824	0.037265	0.00937216	0.862641	0.0172944	1.12921	0.0189071
10081	1	100	15	500	0.145047	0.139033	0.117461	0.021572	0.00601405	0.861249	0.0167259	1.12665	0.0232688
10082	1	100	16	500	0.145307	0.137978	0.105888	0.03209	0.00732909	0.864598	0.0137465	1.12728	0.0152965
10083	1	100	15	500	0.143113	0.136767	0.0991001	0.0376664	0.00634616	0.866007	0.0154305	1.12619	0.0171644
10084	1	100	17	500	0.144272	0.137141	0.101468	0.0356726	0.00713061	0.865087	0.0180625	1.12487	0.0231718
10085	1	100	15	500	0.158175	0.138101	0.0979685	0.0401325	0.0200735	0.86516	0.0226181	1.11758	0.0280725
10086	1	100	17	500	0.150069	0.137716	0.100847	0.0368684	0.0123535	0.865877	0.021093	1.12074	0.0240593
10087	1	100	16	500	0.151417	0.139105	0.107005	0.0320999	0.0123125	0.863325	0.0199161	1.1203	0.0249625
10088	1	100	15	500	0.155792	0.143511	0.109199	0.0343118	0.0122805	0.860384	0.0208668	1.12463	0.0237975
10089	1	100	14	500	0.149499	0.140715	0.104239	0.0364761	0.00878409	0.861305	0.0222068	1.12532	0.0276249
10090	1	100	16	500	0.151791	0.141868	0.10538	0.0364883	0.00992264	0.861929	0.0184362	1.12649	0.0212608
10091	1	100	15	500	0.157101	0.143041	0.114112	0.0289291	0.0140606	0.860922	0.0195975	1.12332	0.0225606
10092	1	100	13	500	0.159466	0.142581	0.117035	0.0255452	0.0168854	0.858329	0.0258152	1.11387	0.0318585
10093	1	100	20	500	0.161355	0.143321	0.125084	0.0182373	0.0180333	0.860014	0.0203272	1.11751	0.0248096
10094	1	100	17	500	0.155031	0.143837	0.125366	0.0184717	0.0111937	0.858633	0.0167955	1.12651	0.0236072
10095	1	100	21	500	0.154104	0.142607	0.120103	0.0225038	0.0114973	0.860905	0.0132945	1.12684	0.0159283
10096	1	100	19	500	0.154459	0.142281	0.120309	0.0219722	0.0121784	0.859246	0.0196836	1.12268	0.0273075
10097	1	100	18	500	0.154581	0.142194	0.119395	0.0227988	0.0123872	0.861696	0.0162551	1.12504	0.0198076
10098	1	100	18	500	0.15593	0.14296	0.121304	0.0216557	0.0129704	0.858724	0.0182194	1.12434	0.0239273
10099	1	100	21	500	0.161525	0.144988	0.116637	0.0283504	0.0165371	0.857346	0.0209425	1.12585	0.0273007
10100	1	100	19	500	0.14929	0.145238	0.122201	0.0230375	0.00405142	0.857613	0.015	1.13538	0.0194933
10101	1	100	18	500	0.153213	0.146246	0.11939	0.0268567	0.00696638	0.856852	0.0170992	1.13557	0.0225099
