Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
10071	1	100	14	500	0.33442	0.32091	0.173495	0.147414	0.0135107	0.710237	0.030111	1.33958	0.0436403
10072	1	100	13	500	0.325408	0.313308	0.173739	0.139569	0.0120998	0.716546	0.0245315	1.33363	0.0370479
10073	1	100	14	500	0.326053	0.315525	0.173024	0.1425	0.0105281	0.716359	0.0206712	1.33919	0.0331427
10074	1	100	13	500	0.323818	0.311147	0.166757	0.14439	0.012671	0.718574	0.0203398	1.33101	0.0295341
10075	1	100	14	500	0.330034	0.314851	0.162567	0.152283	0.0151835	0.715851	0.0257022	1.33317	0.0382538
10076	1	100	14	500	0.351427	0.317163	0.168182	0.148982	0.0342634	0.71452	0.029248	1.32049	0.0427822
10077	1	100	14	500	0.34493	0.315418	0.164657	0.150761	0.0295125	0.717039	0.0292266	1.32419	0.0420132
10078	1	100	13	500	0.340438	0.312422	0.168041	0.144381	0.0280159	0.718475	0.0285957	1.32116	0.0432073
10079	1	100	12	500	0.357323	0.317716	0.170891	0.146825	0.039608	0.715718	0.0267023	1.31817	0.0386179
10080	1	100	16	500	0.331249	0.308974	0.167805	0.141169	0.0222755	0.721086	0.0190687	1.32269	0.0270548
10081	1	100	16	500	0.333732	0.311545	0.163652	0.147892	0.022187	0.717593	0.0220506	1.32357	0.0327651
10082	1	100	19	500	0.335836	0.313177	0.156553	0.156624	0.0226585	0.718091	0.0216124	1.32663	0.0314658
10083	1	100	17	500	0.335953	0.311836	0.158572	0.153264	0.0241166	0.717734	0.0217938	1.3218	0.0281212
10084	1	100	16	500	0.358034	0.318822	0.167406	0.151416	0.0392121	0.714082	0.0326745	1.31948	0.0498838
10085	1	100	12	500	0.337209	0.313165	0.176149	0.137016	0.0240439	0.717917	0.0322609	1.32668	0.0542539
10086	1	100	17	500	0.343695	0.320459	0.18471	0.135748	0.0232357	0.711013	0.0345607	1.33582	0.0650671
10087	1	100	16	500	0.327924	0.318092	0.198057	0.120036	0.00983152	0.713021	0.0415346	1.34384	0.0821042
10088	1	100	16	500	0.335194	0.328625	0.211498	0.117127	0.00656898	0.705043	0.049218	1.35949	0.0967127
10089	1	100	17	500	0.353501	0.337336	0.218552	0.118784	0.0161649	0.699403	0.0516489	1.36527	0.103939
10090	1	100	16	500	0.362921	0.346985	0.235843	0.111142	0.0159365	0.691999	0.0608553	1.3778	0.116986
10091	1	100	16	500	0.378513	0.354587	0.270674	0.0839132	0.0239255	0.687228	0.0717016	1.38203	0.134854
10092	1	100	15	500	0.400331	0.363826	0.276069	0.0877567	0.0365054	0.680594	0.0519366	1.38384	0.110296
10093	1	100	17	500	0.393282	0.364159	0.281493	0.0826668	0.0291224	0.679967	0.0609142	1.39071	0.120841
10094	1	100	13	500	0.37611	0.368106	0.290067	0.0780392	0.00800379	0.676948	0.0682146	1.41289	0.137353
10095	1	100	12	500	0.364747	0.361739	0.293892	0.0678465	0.00300795	0.681062	0.0668375	1.40757	0.135854
10096	1	100	10	500	0.366955	0.364764	0.294295	0.070469	0.00219111	0.678781	0.064079	1.41196	0.127596
10097	1	100	10	500	0.378327	0.372378	0.29978	0.0725978	0.00594915	0.67327	0.0618334	1.419	0.122263
10098	1	100	13	500	0.393658	0.382789	0.299089	0.0836999	0.0108693	0.666697	0.0636815	1.42927	0.130835
10099	1	100	12	500	0.394643	0.382801	0.291128	0.091673	0.0118422	0.666828	0.063577	1.42877	0.12941
10100	1	100	12	500	0.38958	0.376635	0.27789	0.0987458	0.0129444	0.669955	0.0690915	1.4173	0.146327
10101	1	100	14	500	0.39483	0.381951	0.287743	0.0942078	0.0128799	0.667544	0.0619294	1.42702	0.125122
