Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5084	1	100	14	500	NA	0.390589	0.322597	0.245214	0.0773827	0.0679921	0.700013	0.0867883	1.10706	0.137566
5085	1	100	11	500	NA	0.410517	0.328356	0.253542	0.0748135	0.0821612	0.696014	0.0866437	1.1009	0.137475
5086	1	100	11	500	NA	0.397107	0.318776	0.226194	0.092582	0.0783304	0.709599	0.0811277	1.12271	0.128998
5087	1	100	13	500	NA	0.395699	0.317286	0.229905	0.0873802	0.0784135	0.713979	0.0813586	1.12854	0.12845
5088	1	100	12	500	NA	0.387524	0.310711	0.212961	0.0977499	0.0768122	0.712506	0.0831314	1.1273	0.131615
5089	1	100	14	500	NA	0.36159	0.292648	0.193633	0.0990148	0.0689417	0.72567	0.0788854	1.14807	0.125194
5090	1	100	11	500	NA	0.377797	0.300559	0.195475	0.105083	0.0772386	0.720588	0.0812289	1.14036	0.129201
5091	1	100	11	500	NA	0.38238	0.317414	0.220618	0.0967959	0.0649662	0.706313	0.0864021	1.11709	0.136979
5092	1	100	12	500	NA	0.361934	0.302943	0.194064	0.10888	0.0589905	0.725034	0.0741367	1.14769	0.118082
5093	1	100	15	500	NA	0.342883	0.29051	0.179954	0.110556	0.0523731	0.730716	0.0735421	1.15809	0.117695
5094	1	100	13	500	NA	0.3331	0.282663	0.166412	0.11625	0.0504373	0.737173	0.0671495	1.16986	0.108012
5095	1	100	13	500	NA	0.331238	0.280345	0.163479	0.116867	0.0508931	0.739876	0.0630285	1.1772	0.103155
5096	1	100	13	500	NA	0.334701	0.282701	0.162802	0.119898	0.0520004	0.738506	0.0639409	1.17357	0.103827
5097	1	100	11	500	NA	0.342621	0.289847	0.174584	0.115263	0.0527744	0.730286	0.0736841	1.16032	0.119299
5098	1	100	14	500	NA	0.314535	0.267408	0.147307	0.120101	0.0471272	0.74093	0.0648079	1.1798	0.105652
5099	1	100	13	500	NA	0.30566	0.261639	0.145294	0.116345	0.044021	0.756583	0.0459658	1.20361	0.0749572
5100	1	100	13	500	NA	0.312326	0.266597	0.151419	0.115178	0.0457283	0.751268	0.0491354	1.19809	0.080898
5101	1	100	11	500	NA	0.30297	0.259485	0.154673	0.104812	0.0434847	0.75591	0.0452469	1.19734	0.0723177
